ProductID,SubcategoryID,Product Name,Product Description,PriceEach,Cost,SKU,Active
1,1,16oz Pump Bottle - Clear,16oz clear bottle with pump,3.09,1.79,4037,Yes
2,2,Cap - Black,"smooth side cap, black, 28-400",0.08,0.04,4067,Yes
3,6,Dropps Dishwasher Pods,Dishwasher Pods by Dropps,10.62,6.39,4001,Yes
4,7,Dropps Laundry Pods,Dropps Pods for laundry,10.39,6.42,4008,Yes
5,8,White Vinegar - 10% acidity (Cleaning),Fleishmans white distilled vinegar,0.72,0.41,5208,Yes
6,9,Straw cleaner LRG,"cleaning brush, smootie size",1.06,0.22,1012,No
7,3,Paper bag compostable,,0.4,0.31,4020,No
8,2,Lid narrow mouth w/grip Silver,narrow mouth metal lid with grip seal,0.57,0.34,4065,Yes
9,9,Straw Cleaner,cleaning brush for straws,0.98,0.36,1008,Yes
10,10,Dropper of essential oil,One dropper full for using in any item,0.75,0.4,2031,No
11,4,9 oz salve jar white top,clear glass 9 oz salve jar,1.89,0.41,4053,No
12,2,Pump Only - White,plack body care pump medium  2167C72WHT,0.98,0.42,4068,Yes
13,2,Pump Only - Black,plack body care pump medium  2167C72BLK,0.98,0.5,4013,Yes
14,2,Lid White Plastic,Plastic white reuseable lids for ball wide mouth jars,0.85,0.45,4063,No
15,2,Lid with bands regular mouth metal,"Lids with bands, metal regular mouth lid",0.85,0.45,4064,Yes
16,5,"Box, recycled brown",,0.89,0.47,4038,No
17,11,Baking Soda,Arm n Hammer baking soda,0.89,0.48,5001,Yes
18,9,Stainless Steel Straw,stainless steel drinking straw,1.06,0.48,1007,Yes
19,1,Oil & Vinegar Pourer,"pourer, oil and vinegar cruet",1.12,0.5,4012,Yes
20,12,Powdered Sugar,white satin powdered sugar,0.91,0.52,5189,Yes
21,3,"Cotton tea bag, reuseable",Reuseable cotton tea bag,0.88,0.59,1002,No
22,13,Whole Wheat Pastry Flour ORG,Organic whole wheat pastry flour,1.18,0.6,5057,No
23,10,"Vial, Fill w/ any Essential Oil small glass",any essential oil in sample vial,1,0.6,2027,No
24,1,4oz Bottle green glass Boston round,green glass boston round with cap,1.92,0.6,4027,No
25,4,"Spice jar, small square glass w/ black lid",,1.49,0.79,4045,Yes
26,13,Artisan White Flour ORG,"Organic Bakers Craft Flour, Central Milling",1.09,0.6,5061,Yes
27,14,Bentonite Clay,bentonite clay for raw body care ingredient. NOT FOOD GRADE.,1.69,0.65,3005,Yes
28,7,"laundry powder, Tough Guy","Tough Guy laundry powder, biodegradable",1.08,0.66,4007,No
29,4,"Spice jar, lrg w red cap","large glass spice jar with red lid, 16 oz",1.89,0.72,4044,No
30,4,7oz glass salve w blk cap,clear glass salve jar with blk lid 7oz,1.79,0.72,4046,No
31,15,TP Toilet Paper - Who Gives A Crap,100% recycled toilet,1.59,1.07,1021,Yes
32,9,Stainless Steel Straw - Smoothie Size,Large opening smootie or boba straw,1.43,0.75,1011,Yes
33,1,16oz BOTTLE ONLY - Clear,16oz clear boston round bottle,2.29,1.29,4034,Yes
34,16,"Tin, round",round metal tin for salts and spices,1.46,0.83,4071,No
35,4,4oz salve jar black lid,"glass salve jar, 4 oz medium size, black lid",1.69,0.85,4052,No
36,17,"White Rice, Long Grain CONV",conventional white rice,1.94,1.24,5172,Yes
37,4,16oz Mason Jar,16oz regular mouth clear mason jar,1.89,0.89,4051,Yes
38,18,Split Peas Yellow,"Yellow Split peas, conventional",1.55,0.9,5016,No
39,17,Rolled Oats ORG,Organic grain miller rolled oats,1.98,1.13,5161,Yes
40,4,"4oz ""quilted"" mason jar","narrow lid, 4 oz mason jar with quilted look",1.52,0.91,4056,No
41,17,Steel Cut Oats ORG,Organic Steel Cut Oats,2.41,1.21,5065,Yes
42,12,Cane Sugar ORG,"Organic cane sugar, fair trade",0.76,1.13,5178,Yes
43,1,1oz Dropper Bottle,blue one oz dropper,1.96,0.97,4035,Yes
44,1,8oz Bottle - Clear,Clear 8 oz boston round with black cap,1.94,0.97,4032,Yes
45,19,Epsom Salt,epsom salt in body care,3.65,2.22,2017,Yes
46,4,5oz Bail & Trigger Jar,"5oz mini heremes glass jar, anchor home collection",2.89,1.04,4043,Yes
47,12,Raw Demerara Sugar,Demerara sugar Florida Crystals,2.33,1.51,5180,Yes
48,20,Pasta - Penne Rigate,"pasta, penne rigate",1.88,1.05,5146,No
